Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4Z97eOc3xSqFU9CHlG58eP,"Cao Ốc 20 - Tuấn Smile Remix","Cao Ốc 20 (Tuấn Smile Remix)","B Ray;Tuấn Smile;Đạt G",2025-07-28,393543,1,false,,2025-08-17T01:58:52Z,"vietnamese hip hop,v-pop,vinahouse,vietnam indie","BM Music Group",0.703,0.878,3,-6.467,0,0.101,0.632,0.265,0.661,0.507,136.026,4
spotify:track:6tRA1aO8A1v57geP0K3oPk,"Mây Lang Thang","Mây Lang Thang","Tùng TeA;PC;TaynguyenSound",2021-06-01,199035,48,false,,2025-05-28T04:54:12Z,"vietnamese hip hop,vietnam indie,v-pop,vietnamese lo-fi","12 trái lê",0.734,0.539,9,-10.27,1,0.0406,0.784,0.000705,0.117,0.723,147.047,4
spotify:track:1zLquM72L6Ho2bbwnTEXeZ,"Thương Cái Xương Chẳng Còn (feat. Cashmel)","Thương Cái Xương Chẳng Còn (feat. Cashmel)","Tuấn Cry;Cashmel",2022-01-10,202575,1,false,,2025-04-24T02:45:37Z,"v-pop,vietnamese hip hop,vinahouse,vietnam indie","Yin Yang Media",0.85,0.513,10,-6.721,1,0.0543,0.578,0,0.0655,0.495,132.07,4
spotify:track:6XZQgFF48NhsPKjPe5aLYe,"Chẳng Cần Ngày Mai - Beo Lofi Mix","Chẳng Cần Ngày Mai (Beo Lofi Mix)","Trungg I.U;Star Online;Beo",2025-04-03,224801,8,false,,2025-04-22T15:56:59Z,"v-pop,vinahouse,vietnam indie","Extensive Music",0.374,0.534,11,-7.891,0,0.1,0.805,0.00483,0.358,0.377,126.528,4
spotify:track:07iOBFmjZk97JBvPONW8Sj,"Cay","Cay","Khắc Hưng;Jimmi Nguyen",2025-04-14,214666,49,false,,2025-04-22T06:48:16Z,"v-pop,vietnamese hip hop,vinahouse,vietnam indie,vietnamese bolero,bolero","Universal Music Indochina",0.84,0.596,6,-5.005,1,0.041,0.0656,0.0000395,0.0906,0.526,90.011,4
spotify:track:6efgFyelQravqUAaGO6wHb,"No emotions","Boys Get Sad Too","Tays;A1 x J1",2025-03-14,169141,34,false,,2025-04-22T01:18:53Z,"uk drill,drill","Taylormade Records",0.853,0.48,2,-10.542,1,0.298,0.0517,0,0.109,0.369,139.953,4
spotify:track:4ys3y9djWZurOdyouMlcBG,"Now We're Strangers","CAN'T RUSH GREATNESS","Central Cee",2025-01-24,206320,67,true,,2025-04-20T16:50:45Z,"uk drill,drill,uk grime","Columbia",0.748,0.645,7,-5.529,1,0.122,0.238,0.00121,0.483,0.411,94.977,4
spotify:track:2RdEC8Ff83WkX7kDVCHseE,"party 4 u","how i'm feeling now","Charli xcx",2020-05-15,296653,83,false,,2025-03-10T16:56:07Z,"hyperpop,art pop","Atlantic Records UK",0.579,0.522,1,-8.393,1,0.0993,0.761,0.0000141,0.655,0.245,79.453,4
spotify:track:3COYA2vgfcUhDyRlVpZy5p,"PHÓNG ZÌN ZÌN","FLVR","tlinh;Low G",2024-09-18,202999,64,false,,2024-10-02T21:21:31Z,"v-pop,vietnamese hip hop,vietnam indie,vinahouse","M Music Records",0.717,0.693,5,-6.808,0,0.0646,0.185,0.00171,0.164,0.445,101.996,4
spotify:track:3arHMDb1R8DZafssooaRoz,"all my fault","he's just a fxcking guy","Dab",2022-08-07,178595,0,false,,2024-05-03T07:32:49Z,"v-pop,vietnamese hip hop","Howlin' Wolves",0.816,0.27,10,-15.541,0,0.0493,0.407,0.0000573,0.102,0.177,113.025,4
